Date,Category,Sales,Region
2024-01-01,Electronics,1500,North
2024-02-01,Furniture,1800,South
2024-03-01,Clothing,1200,East
2024-04-01,Food,900,West
2024-05-01,Electronics,2100,North
2024-06-01,Furniture,1700,South
2024-07-01,Clothing,1300,East
2024-08-01,Food,1100,West
2024-09-01,Electronics,2500,North
2024-10-01,Furniture,1900,South
2024-11-01,Clothing,1400,East
2024-12-01,Food,1000,West
2025-01-01,Electronics,2600,North
2025-02-01,Furniture,2000,South
2025-03-01,Clothing,1500,East
2025-04-01,Food,1200,West
2025-05-01,Electronics,2800,North
2025-06-01,Furniture,2200,South
2025-07-01,Clothing,1600,East
2025-08-01,Food,1300,West
2025-09-01,Electronics,3000,North
2025-10-01,Furniture,2400,South
2025-11-01,Clothing,1700,East
2025-12-01,Food,1400,West
